c,Year,Round,Player,Sets Won,Legs Won in Current Set,Legs,Order (1 or 2),Shot #,Shot Score,Total Score,Shot Type
Smith v. Van Gerwen,2023,Final,Michael Smith,0,0,1,1,1,20,481,S
Smith v. Van Gerwen,2023,Final,Michael Smith,0,0,1,1,2,20,461,S
Smith v. Van Gerwen,2023,Final,Michael Smith,0,0,1,1,3,60,401,TR
Smith v. Van Gerwen,2023,Final,Michael Van Gerwen,0,0,1,2,1,60,441,TR
Smith v. Van Gerwen,2023,Final,Michael Van Gerwen,0,0,1,2,2,5,436,S
Smith v. Van Gerwen,2023,Final,Michael Van Gerwen,0,0,1,2,3,20,416,S
Smith v. Van Gerwen,2023,Final,Michael Smith,0,0,1,1,1,60,341,TR
Smith v. Van Gerwen,2023,Final,Michael Smith,0,0,1,1,2,60,281,TR
Smith v. Van Gerwen,2023,Final,Michael Smith,0,0,1,1,3,20,261,S
Smith v. Van Gerwen,2023,Final,Michael Van Gerwen,0,0,1,2,1,60,356,TR
Smith v. Van Gerwen,2023,Final,Michael Van Gerwen,0,0,1,2,2,60,296,TR
Smith v. Van Gerwen,2023,Final,Michael Van Gerwen,0,0,1,2,3,60,236,TR
Smith v. Van Gerwen,2023,Final,Michael Smith,0,0,1,1,1,20,241,S
Smith v. Van Gerwen,2023,Final,Michael Smith,0,0,1,1,2,51,190,TR
Smith v. Van Gerwen,2023,Final,Michael Smith,0,0,1,1,3,60,130,TR
Smith v. Van Gerwen,2023,Final,Michael Van Gerwen,0,0,1,2,1,20,216,S
Smith v. Van Gerwen,2023,Final,Michael Van Gerwen,0,0,1,2,2,19,197,S
Smith v. Van Gerwen,2023,Final,Michael Van Gerwen,0,0,1,2,3,7,190,S
Smith v. Van Gerwen,2023,Final,Michael Smith,0,0,1,1,1,20,110,S
Smith v. Van Gerwen,2023,Final,Michael Smith,0,0,1,1,2,60,50,TR
Smith v. Van Gerwen,2023,Final,Michael Smith,0,0,1,1,3,10,40,S
Smith v. Van Gerwen,2023,Final,Michael Van Gerwen,0,0,1,2,1,20,170,S
Smith v. Van Gerwen,2023,Final,Michael Van Gerwen,0,0,1,2,2,60,110,TR
Smith v. Van Gerwen,2023,Final,Michael Van Gerwen,0,0,1,2,3,60,50,TR
Smith v. Van Gerwen,2023,Final,Michael Smith,0,0,1,1,1,40,0,D
Smith v. Van Gerwen,2023,Final,Michael Smith,0,0,1,1,2,n/a,0,n/a
Smith v. Van Gerwen,2023,Final,Michael Smith,0,0,1,1,3,n/a,0,n/a
Smith v. Van Gerwen,2023,Final,Michael Van Gerwen,0,0,2,1,1,20,481,S
Smith v. Van Gerwen,2023,Final,Michael Van Gerwen,0,0,2,1,2,19,462,S
Smith v. Van Gerwen,2023,Final,Michael Van Gerwen,0,0,2,1,3,54,408,TR
Smith v. Van Gerwen,2023,Final,Michael Smith,0,1,2,2,1,60,441,TR
Smith v. Van Gerwen,2023,Final,Michael Smith,0,1,2,2,2,60,381,TR
Smith v. Van Gerwen,2023,Final,Michael Smith,0,1,2,2,3,60,321,TR
Smith v. Van Gerwen,2023,Final,Michael Van Gerwen,0,0,2,1,1,3,405,TR
Smith v. Van Gerwen,2023,Final,Michael Van Gerwen,0,0,2,1,2,20,385,S
Smith v. Van Gerwen,2023,Final,Michael Van Gerwen,0,0,2,1,3,57,328,TR
Smith v. Van Gerwen,2023,Final,Michael Smith,0,1,2,2,1,20,301,S
Smith v. Van Gerwen,2023,Final,Michael Smith,0,1,2,2,2,20,281,S
Smith v. Van Gerwen,2023,Final,Michael Smith,0,1,2,2,3,20,261,S
Smith v. Van Gerwen,2023,Final,Michael Van Gerwen,0,0,2,1,1,60,268,TR
Smith v. Van Gerwen,2023,Final,Michael Van Gerwen,0,0,2,1,2,60,208,TR
Smith v. Van Gerwen,2023,Final,Michael Van Gerwen,0,0,2,1,3,20,188,S
Smith v. Van Gerwen,2023,Final,Michael Smith,0,1,2,2,1,20,241,S
Smith v. Van Gerwen,2023,Final,Michael Smith,0,1,2,2,2,17,224,S
Smith v. Van Gerwen,2023,Final,Michael Smith,0,1,2,2,3,18,206,S
Smith v. Van Gerwen,2023,Final,Michael Van Gerwen,0,0,2,1,1,60,128,TR
Smith v. Van Gerwen,2023,Final,Michael Van Gerwen,0,0,2,1,2,60,68,TR
Smith v. Van Gerwen,2023,Final,Michael Van Gerwen,0,0,2,1,3,48,20,TR
Smith v. Van Gerwen,2023,Final,Michael Smith,0,1,2,2,1,20,186,S
Smith v. Van Gerwen,2023,Final,Michael Smith,0,1,2,2,2,19,167,S
Smith v. Van Gerwen,2023,Final,Michael Smith,0,1,2,2,3,51,116,TR
Smith v. Van Gerwen,2023,Final,Michael Van Gerwen,0,0,2,1,1,0,20,MISS
Smith v. Van Gerwen,2023,Final,Michael Van Gerwen,0,0,2,1,2,0,20,MISS
Smith v. Van Gerwen,2023,Final,Michael Van Gerwen,0,0,2,1,3,10,10,S
Smith v. Van Gerwen,2023,Final,Michael Smith,0,1,2,2,1,19,97,S
Smith v. Van Gerwen,2023,Final,Michael Smith,0,1,2,2,2,3,94,TR
Smith v. Van Gerwen,2023,Final,Michael Smith,0,1,2,2,3,4,90,S
Smith v. Van Gerwen,2023,Final,Michael Van Gerwen,0,0,2,1,1,5,5,S
Smith v. Van Gerwen,2023,Final,Michael Van Gerwen,0,0,2,1,2,3,2,TR
Smith v. Van Gerwen,2023,Final,Michael Van Gerwen,0,0,2,1,3,0,2,MISS
Smith v. Van Gerwen,2023,Final,Michael Smith,0,1,2,2,1,20,70,S
Smith v. Van Gerwen,2023,Final,Michael Smith,0,1,2,2,2,20,50,S
